task,task_label,neighbor_action_coverage_rate,nonzero_advantage_rate,choice_change_rate,augmentation_choice_change_rate,ucb_application_rate,memory_only_candidate_rate,memory_only_selection_rate,mean_evaluator_score,negative_evaluator_score_rate,positive_evaluator_score_rate,mean_absolute_logit_shift,mean_neighbor_count,memory_size
libero_90_task19,T19 Moka pot,0.5998698763825634,0.9544567338972023,0.37404580152671757,0.5801526717557252,0.011711125569290826,0.5738451528952505,0.46564885496183206,0.7557251908396947,0.33587786259541985,0.6183206106870229,0.20568945609712247,8.931297709923664,131
libero_90_task27,T27 Wine bottle,0.6348172276511038,0.9746652189648932,0.3619047619047619,0.6095238095238096,0.015924719507781397,0.6199782844733985,0.3,-0.45714285714285713,0.5333333333333333,0.1761904761904762,0.20466305732682621,9.333333333333334,210
libero_90_task60,T60 Black bowl,0.5950155763239875,0.9792315680166147,0.3902439024390244,0.6463414634146342,0.016614745586708203,0.5742471443406023,0.5121951219512195,0.18292682926829268,0.47560975609756095,0.5,0.23086651730739532,8.487804878048781,82
libero_90_task62,T62 Salad dressing,0.6309963099630996,0.974169741697417,0.3142857142857143,0.5285714285714286,0.015867158671586716,0.6125461254612546,0.2761904761904762,-0.48095238095238096,0.6666666666666666,0.26666666666666666,0.22418901143478043,9.333333333333334,210
libero_90_task79,T79 Book,0.6307339449541285,0.9770642201834863,0.27941176470588236,0.5490196078431373,0.016819571865443424,0.6100917431192661,0.4117647058823529,0.3284313725490196,0.31862745098039214,0.4362745098039216,0.17421899464500204,9.411764705882353,204
