task,method,episode_index,success,steps,high_level_steps,low_level_chunks
libero_90_task79,jitrl,8,0,400,14,40
libero_90_task79,jitrl,9,0,400,14,40
libero_90_task79,jitrl,10,0,400,14,40
libero_90_task79,jitrl,11,0,400,14,40
libero_90_task79,jitrl,12,0,400,14,40
libero_90_task79,jitrl,13,0,400,14,40
libero_90_task79,jitrl,14,0,400,14,40
libero_90_task79,static,0,0,400,14,40
libero_90_task79,static,1,0,400,14,40
libero_90_task79,static,2,0,400,14,40
libero_90_task79,static,3,0,400,14,40
libero_90_task79,static,4,1,354,12,36
libero_90_task79,static,5,0,400,14,40
libero_90_task79,static,6,0,400,14,40
libero_90_task79,static,7,0,400,14,40
libero_90_task79,static,8,0,400,14,40
libero_90_task79,static,9,0,400,14,40
libero_90_task79,static,10,0,400,14,40
libero_90_task79,static,11,0,400,14,40
libero_90_task79,static,12,0,400,14,40
libero_90_task79,static,13,1,376,13,38
libero_90_task79,static,14,0,400,14,40
